GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
STIM2,ENSG00000109689,26857601,27025381,4,(+),stromal interaction molecule 2,,X,4,0,,,,,
NOTCH2,ENSG00000134250,119911553,120100779,1,(-),notch receptor 2,,X,4,0,,,,,
LAMP1,ENSG00000185896,113297088,113323674,13,(+),lysosomal associated membrane protein 1,X,X,4; 18,1,,,,,
CCDC24,ENSG00000159214,43991359,43996529,1,(+),coiled-coil domain containing 24,,X,4,0,,,,,
CCNDBP1,ENSG00000166946,43185118,43197177,15,(+),cyclin D1 binding protein 1,X,X,4; 18,1,,,,,
CCDC69,ENSG00000198624,151181052,151224124,5,(-),coiled-coil domain containing 69,X,X,4; 18,1,,,,,
EIF2S3,ENSG00000130741,24054911,24078810,X,(+),eukaryotic translation initiation factor 2 subunit gamma,X,X,4; 18,1,,,,,
ALG6,ENSG00000088035,63367575,63438553,1,(+),"ALG6 alpha-1,3-glucosyltransferase",,X,4,0,,,,,
ATP6V0B,ENSG00000117410,43974487,43978295,1,(+),ATPase H+ transporting V0 subunit b,,X,4,0,,,,,
PELATON,ENSG00000224397,50233416,50312038,20,(+),plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation,,X,4,0,,,,,
PYCR2,ENSG00000143811,225919397,225924340,1,(-),pyrroline-5-carboxylate reductase 2,,X,4,0,,,,,
CYBB,ENSG00000165168,37780018,37816994,X,(+),cytochrome b-245 beta chain,,X,4,0,,,,,
COQ6,ENSG00000119723,73949926,73963670,14,(+),"coenzyme Q6, monooxygenase",,X,4,0,,,,,
IER5,ENSG00000162783,181088700,181092900,1,(+),immediate early response 5,X,X,4; 18,1,,,,,
OR1A1,ENSG00000172146,3207539,3218896,17,(+),olfactory receptor family 1 subfamily A member 1,X,X,3; 4,1,,,,,
NR1D2,ENSG00000174738,23945286,23980637,3,(+),nuclear receptor subfamily 1 group D member 2,X,X,4; 18,1,,,,,
TFPI,ENSG00000003436,187463823,187565846,2,(-),tissue factor pathway inhibitor,X,X,3; 4,1,,,,,
MACROH2A2,ENSG00000099284,70052544,70112282,10,(+),macroH2A.2 histone,,X,4,0,,,,,
FBXW4,ENSG00000107829,101610663,101695295,10,(-),F-box and WD repeat domain containing 4,,X,4,0,,,,,
LINC02246,ENSG00000281903,14819699,14918552,21,(-),NA,,X,4,0,,,,,
ATP6V0D1,ENSG00000159720,67438005,67481188,16,(-),ATPase H+ transporting V0 subunit d1,X,X,2; 4,1,,,,,
STK38,ENSG00000112079,36493880,36547516,6,(-),serine/threonine kinase 38,,X,4,0,,,,,
NEK9,ENSG00000119638,75079353,75127344,14,(-),NIMA related kinase 9,,X,4,0,,,,,
ZNF664,ENSG00000179195,123971745,124015445,12,(+),zinc finger protein 664,X,X,3; 4,1,,,,,
C16orf54,ENSG00000185905,29742463,29745990,16,(-),chromosome 16 open reading frame 54,,X,4,0,,,,,
ATP11A,ENSG00000068650,112689911,112887168,13,(+),ATPase phospholipid transporting 11A,,X,4,0,,,,,
NID1,ENSG00000116962,235975830,236065202,1,(-),nidogen 1,,X,4,0,,,,,
ZNF460-AS1,ENSG00000267871,57254567,57280418,19,(-),ZNF460 antisense RNA 1,,X,4,0,,,,,
HEG1,ENSG00000173706,124965710,125055997,3,(-),heart development protein with EGF like domains 1,,X,4,0,,,,,
HERC4,ENSG00000148634,67921899,68075342,10,(-),HECT and RLD domain containing E3 ubiquitin protein ligase 4,,X,4,0,,,,,
PIM1,ENSG00000137193,37170152,37175428,6,(+),"Pim-1 proto-oncogene, serine/threonine kinase",X,X,4; 18,1,,,,,
VPS26B,ENSG00000151502,134224613,134247794,11,(+),VPS26 retromer complex component B,,X,4,0,,,,,
DCBLD2,ENSG00000057019,98795941,98901729,3,(-),"discoidin, CUB and LCCL domain containing 2",,X,4,0,,,,,
TOR1AIP1,ENSG00000143337,179882042,179920077,1,(+),torsin 1A interacting protein 1,,X,4,0,,,,,
SSB,ENSG00000138385,169791933,169812091,2,(+),small RNA binding exonuclease protection factor La,,X,4; 5,0,,,,,
HBA2,ENSG00000188536,172876,173710,16,(+),hemoglobin subunit alpha 2,,X,4,0,,,,,
LUC7L2,ENSG00000146963,139340359,139425496,7,(+),"LUC7 like 2, pre-mRNA splicing factor",,X,4,0,,,,,
TEX261,ENSG00000144043,70968325,70994873,2,(-),testis expressed 261,,X,4,0,,,,,
SLC35E3,ENSG00000175782,68746125,68793964,12,(+),solute carrier family 35 member E3,,X,4,0,,,,,
ARMC8,ENSG00000114098,138187248,138298384,3,(+),armadillo repeat containing 8,,X,4,0,,,,,
DCP2,ENSG00000172795,112976702,113022195,5,(+),decapping mRNA 2,,X,4,0,,,,,
DYSF,ENSG00000135636,71453561,71686763,2,(+),dysferlin,X,X,4; 18,1,,,,,
CTRL,ENSG00000141086,67927640,67932365,16,(-),chymotrypsin like,,X,4,0,,,,,
UFD1,ENSG00000070010,19449911,19479215,22,(-),ubiquitin recognition factor in ER associated degradation 1,X,X,4; 18,1,,,,,
ANP32E,ENSG00000143401,150218417,150236202,1,(-),acidic nuclear phosphoprotein 32 family member E,X,X,4; 18,1,,,,,
FHIP2A,ENSG00000151553,114821744,114899832,10,(+),FHF complex subunit HOOK interacting protein 2A,X,X,4; 18,1,,,,,
LIN7C,ENSG00000148943,27494418,27506769,11,(-),"lin-7 homolog C, crumbs cell polarity complex component",,X,4,0,,,,,
FTH1P8,ENSG00000219507,148052233,148052746,X,(+),ferritin heavy chain 1 pseudogene 8,,X,4,0,,,,,
RBM25,ENSG00000119707,73058532,73123899,14,(+),RNA binding motif protein 25,,X,4,0,,,,,
PCDHB3,ENSG00000113205,141100473,141103827,5,(+),protocadherin beta 3,,X,4,0,,,,,
CDC42EP4,ENSG00000179604,73283624,73312005,17,(-),CDC42 effector protein 4,,X,4,0,,,,,
EIF3B,ENSG00000106263,2354086,2380747,7,(+),eukaryotic translation initiation factor 3 subunit B,,X,4,0,,,,,
SNHG8,ENSG00000269893,118278462,118285316,4,(+),small nucleolar RNA host gene 8,,X,4; 5,0,,,,,
NUDCD3,ENSG00000015676,44379119,44490690,7,(-),NudC domain containing 3,,X,4,0,,,,,
RARA,ENSG00000131759,40309180,40357643,17,(+),retinoic acid receptor alpha,,X,4,0,,,,,
CORO1A,ENSG00000102879,30182817,30189085,16,(+),coronin 1A,X,X,4; 5; 18,1,,,,,
MICAL1,ENSG00000135596,109444062,109465968,6,(-),"microtubule associated monooxygenase, calponin and LIM domain containing 1",,X,4,0,,,,,
NBPF3,ENSG00000142794,21440099,21485005,1,(+),NBPF member 3,,X,4,0,,,,,
ATP6V1B2,ENSG00000147416,20197381,20230399,8,(+),ATPase H+ transporting V1 subunit B2,X,X,2; 4,1,,,,,
RABGAP1L-IT1,ENSG00000223525,174896958,174897996,1,(+),RABGAP1L intronic transcript 1,,X,4,0,,,,,
CMTM2,ENSG00000140932,66579448,66588275,16,(+),CKLF like MARVEL transmembrane domain containing 2,X,X,4; 18,1,,,,,
PBRM1,ENSG00000163939,52544735,52685966,3,(-),polybromo 1,,X,4,0,,,,,
CD164,ENSG00000135535,109366514,109382469,6,(-),CD164 molecule,,X,4,0,,,,,
SLC22A23,ENSG00000137266,3268962,3457050,6,(-),solute carrier family 22 member 23,,X,4,0,,,,,
ZER1,ENSG00000160445,128729785,128772414,9,(-),zyg-11 related cell cycle regulator,,X,4,0,,,,,
SLAIN2,ENSG00000109171,48341472,48426201,4,(+),SLAIN motif family member 2,,X,4,0,,,,,
PIGN,ENSG00000197563,61905255,62187118,18,(-),phosphatidylinositol glycan anchor biosynthesis class N,,X,4,0,,,,,
H1-10,ENSG00000184897,129314771,129316286,3,(-),H1.10 linker histone,X,X,4; 18,1,,,,,
SELENOT,ENSG00000198843,150602875,150630436,3,(+),selenoprotein T,X,X,3; 4; 18,1,,,,,
ARHGEF1,ENSG00000076928,41883079,41930150,19,(+),Rho guanine nucleotide exchange factor 1,X,X,4; 18,1,,,,,
RN7SL827P,ENSG00000271986,73487590,73487877,6,(-),"RNA, 7SL, cytoplasmic 827, pseudogene",,X,4,0,,,,,
PPP1R15B,ENSG00000158615,204396492,204411887,1,(-),protein phosphatase 1 regulatory subunit 15B,,X,4,0,,,,,
MCUR1,ENSG00000050393,13786557,13814696,6,(-),mitochondrial calcium uniporter regulator 1,,X,4,0,,,,,
ALDOA,ENSG00000149925,30064164,30070457,16,(+),"aldolase, fructose-bisphosphate A",X,X,4; 18,1,,,,,
LINC00475,ENSG00000225511,92141438,92141650,9,(+),long intergenic non-protein coding RNA 475,X,X,3; 4,1,,,,,
PBXIP1,ENSG00000163346,154944059,154956451,1,(-),PBX homeobox interacting protein 1,X,X,4; 18,1,,,,,
CRCP,ENSG00000241258,66114604,66154568,7,(+),CGRP receptor component,,X,4,0,,,,,
MRPL9,ENSG00000143436,151759647,151763496,1,(-),mitochondrial ribosomal protein L9,,X,4,0,,,,,
UTP6,ENSG00000108651,31860904,31901746,17,(-),UTP6 small subunit processome component,,X,4,0,,,,,
LNPEP,ENSG00000113441,96935394,97037513,5,(+),leucyl and cystinyl aminopeptidase,,X,4,0,,,,,
CDK17,ENSG00000059758,96278242,96400562,12,(-),cyclin dependent kinase 17,X,X,4; 18,1,,,,,
RBM33,ENSG00000184863,155644451,155781485,7,(+),RNA binding motif protein 33,,X,4,0,,,,,
SAFB,ENSG00000160633,5623035,5668478,19,(+),scaffold attachment factor B,,X,4,0,,,,,
ELN,ENSG00000049540,74027789,74069909,7,(+),elastin,,X,4,0,,,,,
MN1,ENSG00000169184,27748277,27801756,22,(-),"MN1 proto-oncogene, transcriptional regulator",X,X,2; 4,1,,,,,
GIGYF1,ENSG00000146830,100679505,100694480,7,(-),GRB10 interacting GYF protein 1,,X,4,0,,,,,
ARGLU1,ENSG00000134884,106541673,106568161,13,(-),arginine and glutamate rich 1,,X,4,0,,,,,
PCMTD1,ENSG00000168300,51817575,51900042,8,(-),protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,,X,4,0,,,,,
IGKV4-1,ENSG00000211598,88885397,88886153,2,(+),immunoglobulin kappa variable 4-1,,X,4,0,,,,,
H1-0,ENSG00000189060,37805229,37807432,22,(+),H1.0 linker histone,,X,4,0,,,,,
CAPZA1,ENSG00000116489,112619173,112671616,1,(+),capping actin protein of muscle Z-line subunit alpha 1,X,X,2; 4; 18,1,,,,,
SETD1B,ENSG00000139718,121804009,121832656,12,(+),"SET domain containing 1B, histone lysine methyltransferase",,X,4,0,,,,,
CLCN7,ENSG00000103249,1444934,1475104,16,(-),chloride voltage-gated channel 7,X,X,2; 4,1,,,,,
DCAF11,ENSG00000100897,24114010,24125614,14,(+),DDB1 and CUL4 associated factor 11,,X,4,0,,,,,
SFPQ,ENSG00000116560,35176378,35193446,1,(-),splicing factor proline and glutamine rich,X,X,4; 18,1,,,,,
CMTM4,ENSG00000183723,66614750,66696743,16,(-),CKLF like MARVEL transmembrane domain containing 4,,X,4,0,,,,,
ACCSL,ENSG00000205126,44047981,44059977,11,(+),1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,,X,4,0,,,,,
CNTRL,ENSG00000119397,121074660,121177729,9,(+),centriolin,X,X,4; 18,1,,,,,
RFXAP,ENSG00000133111,36819222,36829104,13,(+),regulatory factor X associated protein,,X,4,0,,,,,
IGSF9B,ENSG00000080854,133896438,133956968,11,(-),immunoglobulin superfamily member 9B,,X,4,0,,,,,
XRCC6,ENSG00000196419,41620786,41664087,22,(+),X-ray repair cross complementing 6,X,X,4; 5; 18,1,,,,,
UGCG,ENSG00000148154,111896814,111935374,9,(+),UDP-glucose ceramide glucosyltransferase,X,X,2; 4,1,,,,,
DCAF7,ENSG00000136485,63550222,63594286,17,(+),DDB1 and CUL4 associated factor 7,,X,4,0,,,,,
CAPZB,ENSG00000077549,19338775,19485600,1,(-),capping actin protein of muscle Z-line subunit beta,X,X,4; 18,1,,,,,
TRUB2,ENSG00000167112,128305159,128322741,9,(-),TruB pseudouridine synthase family member 2,,X,4,0,,,,,
RND1,ENSG00000172602,48857145,48865870,12,(-),Rho family GTPase 1,X,X,2; 4,1,,,,,
RPS12,ENSG00000112306,132814557,132817577,6,(+),ribosomal protein S12,X,X,4; 18,1,,,,,
ARSK,ENSG00000164291,95555101,95605102,5,(+),arylsulfatase family member K,,X,4,0,,,,,
USP6NL,ENSG00000148429,11460328,11611803,10,(-),USP6 N-terminal like,,X,4,0,,,,,
UBR4,ENSG00000127481,19074510,19210266,1,(-),ubiquitin protein ligase E3 component n-recognin 4,,X,4; 5,0,,,,,
BDP1,ENSG00000145734,71455651,71567820,5,(+),BDP1 general transcription factor IIIB subunit,,X,4,0,,,,,
SLK,ENSG00000065613,103966916,104029242,10,(+),STE20 like kinase,,X,4,0,,,,,
LINC00662,ENSG00000261824,27681072,27794005,19,(-),long intergenic non-protein coding RNA 662,,X,4,0,,,,,
ARHGAP25,ENSG00000163219,68679601,68826833,2,(+),Rho GTPase activating protein 25,X,X,4; 18,1,,,,,
BID,ENSG00000015475,17734138,17774770,22,(-),BH3 interacting domain death agonist,,X,4,0,,,,,
CLCN2,ENSG00000114859,184346185,184363274,3,(-),chloride voltage-gated channel 2,X,X,2; 4,1,,,,,
SHISAL1,ENSG00000138944,44243665,44312951,22,(-),shisa like 1,,X,4,0,,,,,
C16orf74,ENSG00000154102,85690084,85751129,16,(-),chromosome 16 open reading frame 74,,X,4,0,,,,,
TMSB10,ENSG00000034510,84904923,84906680,2,(+),thymosin beta 10,X,X,4; 18,1,,,,,
LFNG,ENSG00000106003,2512529,2529177,7,(+),LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,X,X,4; 18,1,,,,,
MAST2,ENSG00000086015,45786987,46036228,1,(+),microtubule associated serine/threonine kinase 2,,X,4,0,,,,,
CTDP1,ENSG00000060069,79679803,79754503,18,(+),CTD phosphatase subunit 1,,X,4,0,,,,,
RC3H2,ENSG00000056586,122844556,122905513,9,(-),ring finger and CCCH-type domains 2,,X,4,0,,,,,
CNBP,ENSG00000169714,129167818,129184008,3,(-),CCHC-type zinc finger nucleic acid binding protein,,X,4,0,,,,,
SLU7,ENSG00000164609,160401641,160421711,5,(-),"SLU7 homolog, splicing factor",,X,4,0,,,,,
ARHGAP23,ENSG00000275832,38419280,38512385,17,(+),Rho GTPase activating protein 23,,X,4,0,,,,,
THRAP3,ENSG00000054118,36224392,36305376,1,(+),thyroid hormone receptor associated protein 3,X,X,4; 18,1,,,,,
UBE2J1,ENSG00000198833,89326608,89352902,6,(-),ubiquitin conjugating enzyme E2 J1,,X,4,0,,,,,
YWHAQP5,ENSG00000236564,98694109,98695490,2,(+),YWHAQ pseudogene 5,,X,4,0,,,,,
ANXA2,ENSG00000182718,60347134,60402883,15,(-),annexin A2,X,X,3; 4; 18,1,,,,,
KNSTRN,ENSG00000128944,40382721,40394288,15,(+),kinetochore localized astrin (SPAG5) binding protein,,X,4,0,,,,,
RPL24,ENSG00000114391,101681091,101686757,3,(-),ribosomal protein L24,X,X,4; 5; 18,1,,,,,
DERL2,ENSG00000072849,5471254,5486811,17,(-),derlin 2,,X,4,0,,,,,
BTBD11,ENSG00000151136,107318421,107659642,12,(+),BTB domain containing 11,,X,4,0,,,,,
MAP3K1,ENSG00000095015,56815538,56896152,5,(+),mitogen-activated protein kinase kinase kinase 1,X,X,4; 18,1,,,,,
ACACB,ENSG00000076555,109116587,109268226,12,(+),acetyl-CoA carboxylase beta,,X,4,0,,,,,
EEF1A1P6,ENSG00000233476,22510616,22511999,7,(-),eukaryotic translation elongation factor 1 alpha 1 pseudogene 6,X,X,3; 4,1,,,,,
ADSL,ENSG00000239900,40346461,40390463,22,(+),adenylosuccinate lyase,X,X,4; 18,1,,,,,
LINC02930,ENSG00000274461,120608573,120825317,10,(+),long intergenic non-protein coding RNA 2930,,X,4,0,,,,,
MLIP,ENSG00000146147,53929982,54266946,6,(+),muscular LMNA interacting protein,,X,4,0,,,,,
CLIC1,ENSG00000213719,31730581,31740558,6,(-),chloride intracellular channel 1,X,X,4; 18,1,,,,,
SPATA33,ENSG00000167523,89657740,89671272,16,(+),spermatogenesis associated 33,X,X,4; 18,1,,,,,
SEL1L,ENSG00000071537,81471547,81533863,14,(-),SEL1L adaptor subunit of SYVN1 ubiquitin ligase,,X,4,0,,,,,
FAM120AOS,ENSG00000188938,93431441,93453581,9,(-),family with sequence similarity 120 member A opposite strand,,X,4,0,,,,,
SARS1,ENSG00000031698,109213844,109238773,1,(+),seryl-tRNA synthetase 1,,X,4,0,,,,,
COX7A2L,ENSG00000115944,42333546,42425088,2,(-),cytochrome c oxidase subunit 7A2 like,,X,4,0,,,,,
BLM,ENSG00000197299,90717340,90816166,15,(+),BLM RecQ like helicase,X,X,2; 3; 4,1,,,,,
NKAPL,ENSG00000189134,28259297,28260958,6,(+),NFKB activating protein like,,X,4,0,,,,,
ARHGAP12,ENSG00000165322,31805398,31928876,10,(-),Rho GTPase activating protein 12,,X,4,0,,,,,
RN7SL559P,ENSG00000240750,28031884,28032180,1,(-),"RNA, 7SL, cytoplasmic 559, pseudogene",,X,4,0,,,,,
RAD52,ENSG00000002016,910870,990053,12,(-),"RAD52 homolog, DNA repair protein",,X,4,0,,,,,
ZNF143,ENSG00000166478,9460319,9529002,11,(+),zinc finger protein 143,,X,4,0,,,,,
MTND2P28,ENSG00000225630,629640,630683,1,(+),MT-ND2 pseudogene 28,,X,4,0,,,,,
NFATC2,ENSG00000101096,51386957,51562831,20,(-),nuclear factor of activated T cells 2,X,X,4; 18,1,,,,,
ZNFX1,ENSG00000124201,49237946,49278426,20,(-),zinc finger NFX1-type containing 1,,X,4,0,,,,,
SMG1P5,ENSG00000183604,30267553,30335054,16,(-),SMG1 pseudogene 5,,X,4,0,,,,,
BTG2,ENSG00000159388,203305491,203309602,1,(+),BTG anti-proliferation factor 2,,X,4,0,,,,,
RALY,ENSG00000125970,33993632,34108308,20,(+),RALY heterogeneous nuclear ribonucleoprotein,X,X,4; 18,1,,,,,
KDM1B,ENSG00000165097,18155329,18223854,6,(+),lysine demethylase 1B,,X,4,0,,,,,
ITPK1,ENSG00000100605,92936914,93116458,14,(-),inositol-tetrakisphosphate 1-kinase,,X,4,0,,,,,
RPL19,ENSG00000108298,39200283,39204840,17,(+),ribosomal protein L19,X,X,4; 5; 18,1,,,,,
TMBIM4,ENSG00000155957,66135846,66170027,12,(-),transmembrane BAX inhibitor motif containing 4,X,X,4; 18,1,,,,,
MGMT,ENSG00000170430,129466679,129770983,10,(+),O-6-methylguanine-DNA methyltransferase,,X,4,0,,,,,
OR7E89P,ENSG00000243792,158853755,158854576,2,(+),olfactory receptor family 7 subfamily E member 89 pseudogene,,X,4,0,,,,,
RPS13,ENSG00000110700,17074385,17077727,11,(-),ribosomal protein S13,X,X,4; 5; 18,1,,,,,
HSP90AA1,ENSG00000080824,102080738,102139699,14,(-),heat shock protein 90 alpha family class A member 1,X,X,4; 18,1,,,,,
ILDR2,ENSG00000143195,166895711,166975540,1,(-),immunoglobulin like domain containing receptor 2,,X,4,0,,,,,
ARL4C,ENSG00000188042,234493041,234497081,2,(-),ARF like GTPase 4C,X,X,4; 18,1,,,,,
REST,ENSG00000084093,56907876,56966808,4,(+),RE1 silencing transcription factor,,X,4,0,,,,,
PHB1,ENSG00000167085,49404009,49414905,17,(-),prohibitin 1,,X,4,0,,,,,
PLPBP,ENSG00000147471,37762585,37779770,8,(+),pyridoxal phosphate binding protein,,X,4,0,,,,,
SNX29,ENSG00000048471,11976734,12574287,16,(+),sorting nexin 29,,X,4,0,,,,,
SH2D3A,ENSG00000125731,6752160,6768109,19,(-),SH2 domain containing 3A,,X,4,0,,,,,
SNRNP200,ENSG00000144028,96274338,96321271,2,(-),small nuclear ribonucleoprotein U5 subunit 200,,X,4,0,,,,,
STK17A,ENSG00000164543,43582758,43650713,7,(+),serine/threonine kinase 17a,X,X,4; 18,1,,,,,
MARF1,ENSG00000166783,15594302,15643209,16,(-),meiosis regulator and mRNA stability factor 1,,X,4,0,,,,,
GFI1B,ENSG00000165702,132944000,132991687,9,(+),growth factor independent 1B transcriptional repressor,,X,4,0,,,,,
PI4KB,ENSG00000143393,151291792,151328394,1,(-),phosphatidylinositol 4-kinase beta,X,X,2; 4,1,,,,,
POLR2J2,ENSG00000228049,102665368,102671663,7,(-),RNA polymerase II subunit J2,,X,4,0,,,,,
DYRK1A,ENSG00000157540,37365573,37526358,21,(+),dual specificity tyrosine phosphorylation regulated kinase 1A,,X,4,0,,,,,
RUBCN,ENSG00000145016,197668867,197749727,3,(-),rubicon autophagy regulator,,X,4,0,,,,,
SPCS1,ENSG00000114902,52704955,52711148,3,(+),signal peptidase complex subunit 1,,X,4; 5,0,,,,,
RPL27A,ENSG00000166441,8682732,8714759,11,(+),ribosomal protein L27a,X,X,4; 5; 18,1,,,,,
MMRN1,ENSG00000138722,89879532,89954629,4,(+),multimerin 1,,X,4,0,,,,,
VSIR,ENSG00000107738,71747556,71773608,10,(-),V-set immunoregulatory receptor,X,X,4; 18,1,,,,,
CDR2,ENSG00000140743,22345936,22437165,16,(-),cerebellar degeneration related protein 2,,X,4,0,,,,,
NFAT5,ENSG00000102908,69565094,69704666,16,(+),nuclear factor of activated T cells 5,,X,4,0,,,,,
ATP5F1C,ENSG00000165629,7788092,7807815,10,(+),ATP synthase F1 subunit gamma,X,X,4; 5; 18,1,,,,,
PPM1N,ENSG00000213889,45488777,45503129,19,(+),"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)",,X,4,0,,,,,
LMO2,ENSG00000135363,33858574,33892076,11,(-),LIM domain only 2,,X,4,0,,,,,
S100A6,ENSG00000197956,153534591,153536549,1,(-),S100 calcium binding protein A6,X,X,3; 4; 18,1,,,,,
POLR2J3,ENSG00000168255,102537918,102572653,7,(-),RNA polymerase II subunit J3,,X,4,0,,,,,
ADPRS,ENSG00000116863,36088878,36093932,1,(+),ADP-ribosylserine hydrolase,,X,4; 5,0,,,,,
HOXC6,ENSG00000197757,53990624,54030823,12,(+),homeobox C6,,X,4,0,,,,,
IGHA2,ENSG00000211890,105583731,105588395,14,(-),immunoglobulin heavy constant alpha 2 (A2m marker),,X,4,0,,,,,
PRKCSH,ENSG00000130175,11422369,11450969,19,(+),PRKCSH beta subunit of glucosidase II,,X,4,0,,,,,
STK17B,ENSG00000081320,196133583,196176503,2,(-),serine/threonine kinase 17b,X,X,4; 18,1,,,,,
GBF1,ENSG00000107862,102245371,102382899,10,(+),golgi brefeldin A resistant guanine nucleotide exchange factor 1,,X,4,0,,,,,
WDR45,ENSG00000196998,49074433,49101203,X,(-),WD repeat domain 45,,X,4,0,,,,,
PIGM,ENSG00000143315,160024953,160031990,1,(-),phosphatidylinositol glycan anchor biosynthesis class M,,X,4,0,,,,,
UBA6,ENSG00000033178,67612652,67701199,4,(-),ubiquitin like modifier activating enzyme 6,X,X,2; 5,1,,,,,
IGHA1,ENSG00000211895,105703995,105708665,14,(-),immunoglobulin heavy constant alpha 1,,X,4,0,,,,,
SRRT,ENSG00000087087,100875065,100888664,7,(+),"serrate, RNA effector molecule",X,X,4; 18,1,,,,,
STXBP3,ENSG00000116266,108746634,108809525,1,(+),syntaxin binding protein 3,,X,4,0,,,,,
MYBPH,ENSG00000133055,203167811,203175880,1,(-),myosin binding protein H,,X,4,0,,,,,
TRBC1,ENSG00000211751,142791694,142793368,7,(+),T cell receptor beta constant 1,,X,4,0,,,,,
MBD6,ENSG00000166987,57520710,57530148,12,(+),methyl-CpG binding domain protein 6,,X,4,0,,,,,
CYBC1,ENSG00000178927,82440912,82450829,17,(-),cytochrome b-245 chaperone 1,,X,4,0,,,,,
CLNS1A,ENSG00000074201,77514936,77637809,11,(-),chloride nucleotide-sensitive channel 1A,,X,4,0,,,,,
DPYD,ENSG00000188641,97077743,97995000,1,(-),dihydropyrimidine dehydrogenase,,X,4,0,,,,,
KLF2-DT,ENSG00000267275,16283352,16325022,19,(-),KLF2 divergent transcript,,X,4,0,,,,,
ZNF646,ENSG00000167395,31074403,31084196,16,(+),zinc finger protein 646,X,X,2; 4,1,,,,,
FARP2,ENSG00000006607,241356264,241494847,2,(+),"FERM, ARH/RhoGEF and pleckstrin domain protein 2",,X,4,0,,,,,
PTMAP5,ENSG00000214182,81690068,81690400,13,(+),prothymosin alpha pseudogene 5,X,X,3; 4,1,,,,,
ROCK2,ENSG00000134318,11179759,11348330,2,(-),Rho associated coiled-coil containing protein kinase 2,,X,4; 5,0,,,,,
B4GALNT4,ENSG00000182272,369457,382117,11,(+),"beta-1,4-N-acetyl-galactosaminyltransferase 4",,X,4,0,,,,,
GPRIN2,ENSG00000204175,46541736,46557569,10,(-),G protein regulated inducer of neurite outgrowth 2,,X,4,0,,,,,
FAM234A,ENSG00000167930,234521,272183,16,(+),family with sequence similarity 234 member A,,X,4,0,,,,,
FMNL1,ENSG00000184922,45220736,45247319,17,(+),formin like 1,X,X,4; 18,1,,,,,
RPS15A,ENSG00000134419,18781295,18790383,16,(-),ribosomal protein S15a,X,X,4; 5; 18,1,,,,,
YBX1,ENSG00000065978,42682408,42703805,1,(+),Y-box binding protein 1,X,X,4; 18,1,,,,,
KLHL5,ENSG00000109790,39044721,39126857,4,(+),kelch like family member 5,,X,4,0,,,,,
TOP2B,ENSG00000077097,25597978,25664973,3,(-),DNA topoisomerase II beta,,X,4,0,,,,,
VAT1L,ENSG00000171724,77788564,77980107,16,(+),vesicle amine transport 1 like,,X,4,0,,,,,
MAP3K2,ENSG00000169967,127298668,127388465,2,(-),mitogen-activated protein kinase kinase kinase 2,,X,4,0,,,,,
DDX39A,ENSG00000123136,14408798,14419383,19,(-),DExD-box helicase 39A,X,X,2; 4; 18,1,,,,,
TTC37,ENSG00000198677,95461755,95554977,5,(-),tetratricopeptide repeat domain 37,,X,4,0,,,,,
RRP1,ENSG00000160214,43789513,43805757,21,(+),ribosomal RNA processing 1,,X,4,0,,,,,
FAM13B,ENSG00000031003,137937960,138051961,5,(-),family with sequence similarity 13 member B,,X,4,0,,,,,
H3C1,ENSG00000275714,26020451,26021487,6,(+),H3 clustered histone 1,,X,4,0,,,,,
MED13L,ENSG00000123066,115957905,116277693,12,(-),mediator complex subunit 13L,,X,4,0,,,,,
ASAH1,ENSG00000104763,18055992,18084998,8,(-),N-acylsphingosine amidohydrolase 1,,X,4,0,,,,,
GAS7,ENSG00000007237,9910606,10198853,17,(-),growth arrest specific 7,,X,4,0,,,,,
FBXW7,ENSG00000109670,152320544,152536107,4,(-),F-box and WD repeat domain containing 7,,X,4,0,,,,,
MYO18A,ENSG00000196535,29071119,29180456,17,(-),myosin XVIIIA,,X,4,0,,,,,
TNK2,ENSG00000061938,195863364,195911945,3,(-),tyrosine kinase non receptor 2,,X,4,0,,,,,
WARS2-AS1,ENSG00000231365,119140391,119362600,1,(+),WARS2 antisense RNA 1,,X,4,0,,,,,
LMNB2,ENSG00000176619,2427638,2456992,19,(-),lamin B2,X,X,2; 4; 18,1,,,,,
MDGA1,ENSG00000112139,37630679,37699306,6,(-),MAM domain containing glycosylphosphatidylinositol anchor 1,,X,4,0,,,,,
JCHAIN,ENSG00000132465,70655541,70681817,4,(-),joining chain of multimeric IgA and IgM,,X,4,0,,,,,
IGLC1,ENSG00000211675,22895375,22895834,22,(+),immunoglobulin lambda constant 1,,X,4,0,,,,,
POLR1A,ENSG00000068654,86020216,86106155,2,(-),RNA polymerase I subunit A,,X,4,0,,,,,
NDUFB11,ENSG00000147123,47142071,47145466,X,(-),NADH:ubiquinone oxidoreductase subunit B11,X,X,4; 18,1,,,,,
